"preprocessing","split","age_category","imbalancing_method","predictor_method","define_recid_method","recidivism_prob"
"Method_C","8:2","age_cat_nij","Oversampling","full","1yr",0.00918538743552044
"Method_A","1:2","raw_age_year","Male Only","full","1yr",0.0338799526641961
"Method_B","1:2","raw_age_year","Male Only","full","1yr",0.0338799526641961
"Method_C","1:2","raw_age_year","Male Only","full","1yr",0.0338799526641961
"Method_A","6:4","raw_age_year","Male Only","full","1yr",0.039897626966353
"Method_B","6:4","raw_age_year","Male Only","full","1yr",0.039897626966353
"Method_C","6:4","raw_age_year","Male Only","full","1yr",0.039897626966353
"Method_A","7:3","raw_age_year","Male Only","full","1yr",0.0428005755022453
"Method_B","7:3","raw_age_year","Male Only","full","1yr",0.0428005755022453
"Method_C","7:3","raw_age_year","Male Only","full","1yr",0.0428005755022453
"Method_A","8:2","raw_age_year","Male Only","full","1yr",0.0364549804738004
"Method_B","8:2","raw_age_year","Male Only","full","1yr",0.0364549804738004
"Method_C","8:2","raw_age_year","Male Only","full","1yr",0.0364549804738004
"Method_A","1:2","age_cat_compas","Male Only","full","1yr",0.0338799526641961
"Method_B","1:2","age_cat_compas","Male Only","full","1yr",0.0338799526641961
"Method_C","1:2","age_cat_compas","Male Only","full","1yr",0.0338799526641961
"Method_A","6:4","age_cat_compas","Male Only","full","1yr",0.039897626966353
"Method_B","6:4","age_cat_compas","Male Only","full","1yr",0.039897626966353
"Method_C","6:4","age_cat_compas","Male Only","full","1yr",0.039897626966353
"Method_A","7:3","age_cat_compas","Male Only","full","1yr",0.0428005755022453
"Method_B","7:3","age_cat_compas","Male Only","full","1yr",0.0428005755022453
"Method_C","7:3","age_cat_compas","Male Only","full","1yr",0.0428005755022453
"Method_A","8:2","age_cat_compas","Male Only","full","1yr",0.0364549804738004
"Method_B","8:2","age_cat_compas","Male Only","full","1yr",0.0364549804738004
"Method_C","8:2","age_cat_compas","Male Only","full","1yr",0.0364549804738004
"Method_A","1:2","age_cat_nij","Male Only","full","1yr",0.0338799526641961
"Method_B","1:2","age_cat_nij","Male Only","full","1yr",0.0338799526641961
"Method_C","1:2","age_cat_nij","Male Only","full","1yr",0.0338799526641961
"Method_A","6:4","age_cat_nij","Male Only","full","1yr",0.039897626966353
"Method_B","6:4","age_cat_nij","Male Only","full","1yr",0.039897626966353
