"preprocessing","split","age_category","imbalancing_method","predictor_method","define_recid_method","recidivism_prob"
"Method_B","6:4","age_cat_compas","Female Only","full","2yr",0
"Method_C","6:4","age_cat_compas","Female Only","full","2yr",0
"Method_A","7:3","age_cat_compas","Female Only","full","2yr",1.47070011018435e-05
"Method_B","7:3","age_cat_compas","Female Only","full","2yr",1.47070011018435e-05
"Method_C","7:3","age_cat_compas","Female Only","full","2yr",1.47070011018435e-05
"Method_A","8:2","age_cat_compas","Female Only","full","2yr",7.54334619634811e-06
"Method_B","8:2","age_cat_compas","Female Only","full","2yr",7.54334619634811e-06
"Method_C","8:2","age_cat_compas","Female Only","full","2yr",7.54334619634811e-06
"Method_A","1:2","age_cat_nij","Female Only","full","2yr",0.0202929570262319
"Method_B","1:2","age_cat_nij","Female Only","full","2yr",0.0202929570262319
"Method_C","1:2","age_cat_nij","Female Only","full","2yr",0.0202929570262319
"Method_A","6:4","age_cat_nij","Female Only","full","2yr",0
"Method_B","6:4","age_cat_nij","Female Only","full","2yr",0
"Method_C","6:4","age_cat_nij","Female Only","full","2yr",0
"Method_A","7:3","age_cat_nij","Female Only","full","2yr",1.47070011018435e-05
"Method_B","7:3","age_cat_nij","Female Only","full","2yr",1.47070011018435e-05
"Method_C","7:3","age_cat_nij","Female Only","full","2yr",1.47070011018435e-05
"Method_A","8:2","age_cat_nij","Female Only","full","2yr",7.54334619634811e-06
"Method_B","8:2","age_cat_nij","Female Only","full","2yr",7.54334619634811e-06
"Method_C","8:2","age_cat_nij","Female Only","full","2yr",7.54334619634811e-06
"Method_A","1:2","raw_age_year","Weighting","full","2yr",0.0343895650088569
"Method_B","1:2","raw_age_year","Weighting","full","2yr",0.0343895650088569
"Method_C","1:2","raw_age_year","Weighting","full","2yr",0.0343895650088569
"Method_A","6:4","raw_age_year","Weighting","full","2yr",0.0234462413559706
"Method_B","6:4","raw_age_year","Weighting","full","2yr",0.0234462413559706
"Method_C","6:4","raw_age_year","Weighting","full","2yr",0.0234462413559706
"Method_A","7:3","raw_age_year","Weighting","full","2yr",0.0315052044547717
"Method_B","7:3","raw_age_year","Weighting","full","2yr",0.0315052044547717
"Method_C","7:3","raw_age_year","Weighting","full","2yr",0.0315052044547717
"Method_A","8:2","raw_age_year","Weighting","full","2yr",0.0322206667428065
"Method_B","8:2","raw_age_year","Weighting","full","2yr",0.0322206667428065
"Method_C","8:2","raw_age_year","Weighting","full","2yr",0.0322206667428065
"Method_A","1:2","age_cat_compas","Weighting","full","2yr",0.0343895650088569
"Method_B","1:2","age_cat_compas","Weighting","full","2yr",0.0343895650088569
"Method_C","1:2","age_cat_compas","Weighting","full","2yr",0.0343895650088569
"Method_A","6:4","age_cat_compas","Weighting","full","2yr",0.0234462413559706
"Method_B","6:4","age_cat_compas","Weighting","full","2yr",0.0234462413559706
"Method_C","6:4","age_cat_compas","Weighting","full","2yr",0.0234462413559706
"Method_A","7:3","age_cat_compas","Weighting","full","2yr",0.0315052044547717
"Method_B","7:3","age_cat_compas","Weighting","full","2yr",0.0315052044547717
"Method_C","7:3","age_cat_compas","Weighting","full","2yr",0.0315052044547717
"Method_A","8:2","age_cat_compas","Weighting","full","2yr",0.0322206667428065
"Method_B","8:2","age_cat_compas","Weighting","full","2yr",0.0322206667428065
"Method_C","8:2","age_cat_compas","Weighting","full","2yr",0.0322206667428065
"Method_A","1:2","age_cat_nij","Weighting","full","2yr",0.0343895650088569
"Method_B","1:2","age_cat_nij","Weighting","full","2yr",0.0343895650088569
"Method_C","1:2","age_cat_nij","Weighting","full","2yr",0.0343895650088569
"Method_A","6:4","age_cat_nij","Weighting","full","2yr",0.0234462413559706
"Method_B","6:4","age_cat_nij","Weighting","full","2yr",0.0234462413559706
"Method_C","6:4","age_cat_nij","Weighting","full","2yr",0.0234462413559706
"Method_A","7:3","age_cat_nij","Weighting","full","2yr",0.0315052044547717
"Method_B","7:3","age_cat_nij","Weighting","full","2yr",0.0315052044547717
"Method_C","7:3","age_cat_nij","Weighting","full","2yr",0.0315052044547717
"Method_A","8:2","age_cat_nij","Weighting","full","2yr",0.0322206667428065
"Method_B","8:2","age_cat_nij","Weighting","full","2yr",0.0322206667428065
"Method_C","8:2","age_cat_nij","Weighting","full","2yr",0.0322206667428065
"Method_A","1:2","raw_age_year","Undersampling","final","2yr",0.0268762179091245
"Method_B","1:2","raw_age_year","Undersampling","final","2yr",0.0268762179091245
"Method_C","1:2","raw_age_year","Undersampling","final","2yr",0.0268762179091245
"Method_A","6:4","raw_age_year","Undersampling","final","2yr",0.00787715604986883
"Method_B","6:4","raw_age_year","Undersampling","final","2yr",0.00787715604986883
"Method_C","6:4","raw_age_year","Undersampling","final","2yr",0.00787715604986883
"Method_A","7:3","raw_age_year","Undersampling","final","2yr",0.0124796474601505
"Method_B","7:3","raw_age_year","Undersampling","final","2yr",0.0124796474601505
"Method_C","7:3","raw_age_year","Undersampling","final","2yr",0.0124796474601505
"Method_A","8:2","raw_age_year","Undersampling","final","2yr",0.00982757972065551
"Method_B","8:2","raw_age_year","Undersampling","final","2yr",0.00982757972065551
"Method_C","8:2","raw_age_year","Undersampling","final","2yr",0.00982757972065551
"Method_A","1:2","age_cat_compas","Undersampling","final","2yr",0.0268762179091245
"Method_B","1:2","age_cat_compas","Undersampling","final","2yr",0.0268762179091245
"Method_C","1:2","age_cat_compas","Undersampling","final","2yr",0.0268762179091245
"Method_A","6:4","age_cat_compas","Undersampling","final","2yr",0.00787715604986883
"Method_B","6:4","age_cat_compas","Undersampling","final","2yr",0.00787715604986883
"Method_C","6:4","age_cat_compas","Undersampling","final","2yr",0.00787715604986883
"Method_A","7:3","age_cat_compas","Undersampling","final","2yr",0.0124796474601505
"Method_B","7:3","age_cat_compas","Undersampling","final","2yr",0.0124796474601505
"Method_C","7:3","age_cat_compas","Undersampling","final","2yr",0.0124796474601505
"Method_A","8:2","age_cat_compas","Undersampling","final","2yr",0.00982757972065551
"Method_B","8:2","age_cat_compas","Undersampling","final","2yr",0.00982757972065551
"Method_C","8:2","age_cat_compas","Undersampling","final","2yr",0.00982757972065551
"Method_A","1:2","age_cat_nij","Undersampling","final","2yr",0.0268762179091245
"Method_B","1:2","age_cat_nij","Undersampling","final","2yr",0.0268762179091245
"Method_C","1:2","age_cat_nij","Undersampling","final","2yr",0.0268762179091245
"Method_A","6:4","age_cat_nij","Undersampling","final","2yr",0.00787715604986883
"Method_B","6:4","age_cat_nij","Undersampling","final","2yr",0.00787715604986883
"Method_C","6:4","age_cat_nij","Undersampling","final","2yr",0.00787715604986883
"Method_A","7:3","age_cat_nij","Undersampling","final","2yr",0.0124796474601505
"Method_B","7:3","age_cat_nij","Undersampling","final","2yr",0.0124796474601505
"Method_C","7:3","age_cat_nij","Undersampling","final","2yr",0.0124796474601505
"Method_A","8:2","age_cat_nij","Undersampling","final","2yr",0.00982757972065551
"Method_B","8:2","age_cat_nij","Undersampling","final","2yr",0.00982757972065551
"Method_C","8:2","age_cat_nij","Undersampling","final","2yr",0.00982757972065551
"Method_A","1:2","raw_age_year","Oversampling","final","2yr",0.0375228175041151
"Method_B","1:2","raw_age_year","Oversampling","final","2yr",0.0375228175041151
"Method_C","1:2","raw_age_year","Oversampling","final","2yr",0.0375228175041151
"Method_A","6:4","raw_age_year","Oversampling","final","2yr",0.0107614663063683
"Method_B","6:4","raw_age_year","Oversampling","final","2yr",0.0107614663063683
"Method_C","6:4","raw_age_year","Oversampling","final","2yr",0.0107614663063683
"Method_A","7:3","raw_age_year","Oversampling","final","2yr",0.0160202823219466
"Method_B","7:3","raw_age_year","Oversampling","final","2yr",0.0160202823219466
"Method_C","7:3","raw_age_year","Oversampling","final","2yr",0.0160202823219466
"Method_A","8:2","raw_age_year","Oversampling","final","2yr",0.0197518225075322
"Method_B","8:2","raw_age_year","Oversampling","final","2yr",0.0197518225075322
"Method_C","8:2","raw_age_year","Oversampling","final","2yr",0.0197518225075322
"Method_A","1:2","age_cat_compas","Oversampling","final","2yr",0.0375228175041151
"Method_B","1:2","age_cat_compas","Oversampling","final","2yr",0.0375228175041151
"Method_C","1:2","age_cat_compas","Oversampling","final","2yr",0.0375228175041151
"Method_A","6:4","age_cat_compas","Oversampling","final","2yr",0.0107614663063683
"Method_B","6:4","age_cat_compas","Oversampling","final","2yr",0.0107614663063683
"Method_C","6:4","age_cat_compas","Oversampling","final","2yr",0.0107614663063683
"Method_A","7:3","age_cat_compas","Oversampling","final","2yr",0.0160202823219466
"Method_B","7:3","age_cat_compas","Oversampling","final","2yr",0.0160202823219466
"Method_C","7:3","age_cat_compas","Oversampling","final","2yr",0.0160202823219466
"Method_A","8:2","age_cat_compas","Oversampling","final","2yr",0.0197518225075322
"Method_B","8:2","age_cat_compas","Oversampling","final","2yr",0.0197518225075322
"Method_C","8:2","age_cat_compas","Oversampling","final","2yr",0.0197518225075322
"Method_A","1:2","age_cat_nij","Oversampling","final","2yr",0.0375228175041151
"Method_B","1:2","age_cat_nij","Oversampling","final","2yr",0.0375228175041151
"Method_C","1:2","age_cat_nij","Oversampling","final","2yr",0.0375228175041151
"Method_A","6:4","age_cat_nij","Oversampling","final","2yr",0.0107614663063683
"Method_B","6:4","age_cat_nij","Oversampling","final","2yr",0.0107614663063683
"Method_C","6:4","age_cat_nij","Oversampling","final","2yr",0.0107614663063683
"Method_A","7:3","age_cat_nij","Oversampling","final","2yr",0.0160202823219466
"Method_B","7:3","age_cat_nij","Oversampling","final","2yr",0.0160202823219466
"Method_C","7:3","age_cat_nij","Oversampling","final","2yr",0.0160202823219466
"Method_A","8:2","age_cat_nij","Oversampling","final","2yr",0.0197518225075322
"Method_B","8:2","age_cat_nij","Oversampling","final","2yr",0.0197518225075322
"Method_C","8:2","age_cat_nij","Oversampling","final","2yr",0.0197518225075322
"Method_A","1:2","raw_age_year","Male Only","final","2yr",0.0737107263484916
"Method_B","1:2","raw_age_year","Male Only","final","2yr",0.0737107263484916
"Method_C","1:2","raw_age_year","Male Only","final","2yr",0.0737107263484916
"Method_A","6:4","raw_age_year","Male Only","final","2yr",0.0767635370467761
"Method_B","6:4","raw_age_year","Male Only","final","2yr",0.0767635370467761
"Method_C","6:4","raw_age_year","Male Only","final","2yr",0.0767635370467761
"Method_A","7:3","raw_age_year","Male Only","final","2yr",0.0777895565977679
"Method_B","7:3","raw_age_year","Male Only","final","2yr",0.0777895565977679
"Method_C","7:3","raw_age_year","Male Only","final","2yr",0.0777895565977679
"Method_A","8:2","raw_age_year","Male Only","final","2yr",0.0733142559488764
"Method_B","8:2","raw_age_year","Male Only","final","2yr",0.0733142559488764
"Method_C","8:2","raw_age_year","Male Only","final","2yr",0.0733142559488764
"Method_A","1:2","age_cat_compas","Male Only","final","2yr",0.0737107263484916
"Method_B","1:2","age_cat_compas","Male Only","final","2yr",0.0737107263484916
"Method_C","1:2","age_cat_compas","Male Only","final","2yr",0.0737107263484916
"Method_A","6:4","age_cat_compas","Male Only","final","2yr",0.0767635370467761
"Method_B","6:4","age_cat_compas","Male Only","final","2yr",0.0767635370467761
"Method_C","6:4","age_cat_compas","Male Only","final","2yr",0.0767635370467761
"Method_A","7:3","age_cat_compas","Male Only","final","2yr",0.0777895565977679
"Method_B","7:3","age_cat_compas","Male Only","final","2yr",0.0777895565977679
"Method_C","7:3","age_cat_compas","Male Only","final","2yr",0.0777895565977679
"Method_A","8:2","age_cat_compas","Male Only","final","2yr",0.0733142559488764
"Method_B","8:2","age_cat_compas","Male Only","final","2yr",0.0733142559488764
"Method_C","8:2","age_cat_compas","Male Only","final","2yr",0.0733142559488764
"Method_A","1:2","age_cat_nij","Male Only","final","2yr",0.0737107263484916
"Method_B","1:2","age_cat_nij","Male Only","final","2yr",0.0737107263484916
"Method_C","1:2","age_cat_nij","Male Only","final","2yr",0.0737107263484916
"Method_A","6:4","age_cat_nij","Male Only","final","2yr",0.0767635370467761
"Method_B","6:4","age_cat_nij","Male Only","final","2yr",0.0767635370467761
"Method_C","6:4","age_cat_nij","Male Only","final","2yr",0.0767635370467761
"Method_A","7:3","age_cat_nij","Male Only","final","2yr",0.0777895565977679
"Method_B","7:3","age_cat_nij","Male Only","final","2yr",0.0777895565977679
"Method_C","7:3","age_cat_nij","Male Only","final","2yr",0.0777895565977679
"Method_A","8:2","age_cat_nij","Male Only","final","2yr",0.0733142559488764
"Method_B","8:2","age_cat_nij","Male Only","final","2yr",0.0733142559488764
"Method_C","8:2","age_cat_nij","Male Only","final","2yr",0.0733142559488764
"Method_A","1:2","raw_age_year","Female Only","final","2yr",0.0329728108427332
"Method_B","1:2","raw_age_year","Female Only","final","2yr",0.0329728108427332
"Method_C","1:2","raw_age_year","Female Only","final","2yr",0.0329728108427332
"Method_A","6:4","raw_age_year","Female Only","final","2yr",0
"Method_B","6:4","raw_age_year","Female Only","final","2yr",0
"Method_C","6:4","raw_age_year","Female Only","final","2yr",0
"Method_A","7:3","raw_age_year","Female Only","final","2yr",0.000323498272723155
"Method_B","7:3","raw_age_year","Female Only","final","2yr",0.000323498272723155
"Method_C","7:3","raw_age_year","Female Only","final","2yr",0.000323498272723155
"Method_A","8:2","raw_age_year","Female Only","final","2yr",0.00045786358804889
"Method_B","8:2","raw_age_year","Female Only","final","2yr",0.00045786358804889
"Method_C","8:2","raw_age_year","Female Only","final","2yr",0.00045786358804889
"Method_A","1:2","age_cat_compas","Female Only","final","2yr",0.0329728108427332
"Method_B","1:2","age_cat_compas","Female Only","final","2yr",0.0329728108427332
"Method_C","1:2","age_cat_compas","Female Only","final","2yr",0.0329728108427332
"Method_A","6:4","age_cat_compas","Female Only","final","2yr",0
"Method_B","6:4","age_cat_compas","Female Only","final","2yr",0
"Method_C","6:4","age_cat_compas","Female Only","final","2yr",0
"Method_A","7:3","age_cat_compas","Female Only","final","2yr",0.000323498272723155
"Method_B","7:3","age_cat_compas","Female Only","final","2yr",0.000323498272723155
"Method_C","7:3","age_cat_compas","Female Only","final","2yr",0.000323498272723155
"Method_A","8:2","age_cat_compas","Female Only","final","2yr",0.00045786358804889
"Method_B","8:2","age_cat_compas","Female Only","final","2yr",0.00045786358804889
"Method_C","8:2","age_cat_compas","Female Only","final","2yr",0.00045786358804889
"Method_A","1:2","age_cat_nij","Female Only","final","2yr",0.0329728108427332
"Method_B","1:2","age_cat_nij","Female Only","final","2yr",0.0329728108427332
"Method_C","1:2","age_cat_nij","Female Only","final","2yr",0.0329728108427332
"Method_A","6:4","age_cat_nij","Female Only","final","2yr",0
"Method_B","6:4","age_cat_nij","Female Only","final","2yr",0
"Method_C","6:4","age_cat_nij","Female Only","final","2yr",0
"Method_A","7:3","age_cat_nij","Female Only","final","2yr",0.000323498272723155
"Method_B","7:3","age_cat_nij","Female Only","final","2yr",0.000323498272723155
"Method_C","7:3","age_cat_nij","Female Only","final","2yr",0.000323498272723155
"Method_A","8:2","age_cat_nij","Female Only","final","2yr",0.00045786358804889
"Method_B","8:2","age_cat_nij","Female Only","final","2yr",0.00045786358804889
"Method_C","8:2","age_cat_nij","Female Only","final","2yr",0.00045786358804889
"Method_A","1:2","raw_age_year","Weighting","final","2yr",0.0370571301873459
"Method_B","1:2","raw_age_year","Weighting","final","2yr",0.0370571301873459
"Method_C","1:2","raw_age_year","Weighting","final","2yr",0.0370571301873459
"Method_A","6:4","raw_age_year","Weighting","final","2yr",0.0221865891545059
"Method_B","6:4","raw_age_year","Weighting","final","2yr",0.0221865891545059
"Method_C","6:4","raw_age_year","Weighting","final","2yr",0.0221865891545059
"Method_A","7:3","raw_age_year","Weighting","final","2yr",0.028341352353038
"Method_B","7:3","raw_age_year","Weighting","final","2yr",0.028341352353038
"Method_C","7:3","raw_age_year","Weighting","final","2yr",0.028341352353038
"Method_A","8:2","raw_age_year","Weighting","final","2yr",0.0312790916428383
"Method_B","8:2","raw_age_year","Weighting","final","2yr",0.0312790916428383
"Method_C","8:2","raw_age_year","Weighting","final","2yr",0.0312790916428383
"Method_A","1:2","age_cat_compas","Weighting","final","2yr",0.0370571301873459
"Method_B","1:2","age_cat_compas","Weighting","final","2yr",0.0370571301873459
"Method_C","1:2","age_cat_compas","Weighting","final","2yr",0.0370571301873459
"Method_A","6:4","age_cat_compas","Weighting","final","2yr",0.0221865891545059
"Method_B","6:4","age_cat_compas","Weighting","final","2yr",0.0221865891545059
"Method_C","6:4","age_cat_compas","Weighting","final","2yr",0.0221865891545059
"Method_A","7:3","age_cat_compas","Weighting","final","2yr",0.028341352353038
"Method_B","7:3","age_cat_compas","Weighting","final","2yr",0.028341352353038
"Method_C","7:3","age_cat_compas","Weighting","final","2yr",0.028341352353038
"Method_A","8:2","age_cat_compas","Weighting","final","2yr",0.0312790916428383
"Method_B","8:2","age_cat_compas","Weighting","final","2yr",0.0312790916428383
"Method_C","8:2","age_cat_compas","Weighting","final","2yr",0.0312790916428383
"Method_A","1:2","age_cat_nij","Weighting","final","2yr",0.0370571301873459
"Method_B","1:2","age_cat_nij","Weighting","final","2yr",0.0370571301873459
"Method_C","1:2","age_cat_nij","Weighting","final","2yr",0.0370571301873459
"Method_A","6:4","age_cat_nij","Weighting","final","2yr",0.0221865891545059
"Method_B","6:4","age_cat_nij","Weighting","final","2yr",0.0221865891545059
"Method_C","6:4","age_cat_nij","Weighting","final","2yr",0.0221865891545059
"Method_A","7:3","age_cat_nij","Weighting","final","2yr",0.028341352353038
"Method_B","7:3","age_cat_nij","Weighting","final","2yr",0.028341352353038
"Method_C","7:3","age_cat_nij","Weighting","final","2yr",0.028341352353038
"Method_A","8:2","age_cat_nij","Weighting","final","2yr",0.0312790916428383
"Method_B","8:2","age_cat_nij","Weighting","final","2yr",0.0312790916428383
"Method_C","8:2","age_cat_nij","Weighting","final","2yr",0.0312790916428383
"Method_A","1:2","raw_age_year","Undersampling","protected","2yr",0.10828316341439
"Method_B","1:2","raw_age_year","Undersampling","protected","2yr",0.10828316341439
"Method_C","1:2","raw_age_year","Undersampling","protected","2yr",0.10828316341439
"Method_A","6:4","raw_age_year","Undersampling","protected","2yr",0.0700362559498967
"Method_B","6:4","raw_age_year","Undersampling","protected","2yr",0.0700362559498967
"Method_C","6:4","raw_age_year","Undersampling","protected","2yr",0.0700362559498967
"Method_A","7:3","raw_age_year","Undersampling","protected","2yr",0.0958107756534367
"Method_B","7:3","raw_age_year","Undersampling","protected","2yr",0.0958107756534367
"Method_C","7:3","raw_age_year","Undersampling","protected","2yr",0.0958107756534367
"Method_A","8:2","raw_age_year","Undersampling","protected","2yr",0.108902047340213
"Method_B","8:2","raw_age_year","Undersampling","protected","2yr",0.108902047340213
"Method_C","8:2","raw_age_year","Undersampling","protected","2yr",0.108902047340213
"Method_A","1:2","age_cat_compas","Undersampling","protected","2yr",0.10828316341439
"Method_B","1:2","age_cat_compas","Undersampling","protected","2yr",0.10828316341439
"Method_C","1:2","age_cat_compas","Undersampling","protected","2yr",0.10828316341439
"Method_A","6:4","age_cat_compas","Undersampling","protected","2yr",0.0700362559498967
"Method_B","6:4","age_cat_compas","Undersampling","protected","2yr",0.0700362559498967
"Method_C","6:4","age_cat_compas","Undersampling","protected","2yr",0.0700362559498967
"Method_A","7:3","age_cat_compas","Undersampling","protected","2yr",0.0958107756534367
"Method_B","7:3","age_cat_compas","Undersampling","protected","2yr",0.0958107756534367
"Method_C","7:3","age_cat_compas","Undersampling","protected","2yr",0.0958107756534367
"Method_A","8:2","age_cat_compas","Undersampling","protected","2yr",0.108902047340213
"Method_B","8:2","age_cat_compas","Undersampling","protected","2yr",0.108902047340213
"Method_C","8:2","age_cat_compas","Undersampling","protected","2yr",0.108902047340213
"Method_A","1:2","age_cat_nij","Undersampling","protected","2yr",0.10828316341439
"Method_B","1:2","age_cat_nij","Undersampling","protected","2yr",0.10828316341439
"Method_C","1:2","age_cat_nij","Undersampling","protected","2yr",0.10828316341439
"Method_A","6:4","age_cat_nij","Undersampling","protected","2yr",0.0700362559498967
"Method_B","6:4","age_cat_nij","Undersampling","protected","2yr",0.0700362559498967
"Method_C","6:4","age_cat_nij","Undersampling","protected","2yr",0.0700362559498967
"Method_A","7:3","age_cat_nij","Undersampling","protected","2yr",0.0958107756534367
"Method_B","7:3","age_cat_nij","Undersampling","protected","2yr",0.0958107756534367
"Method_C","7:3","age_cat_nij","Undersampling","protected","2yr",0.0958107756534367
"Method_A","8:2","age_cat_nij","Undersampling","protected","2yr",0.108902047340213
"Method_B","8:2","age_cat_nij","Undersampling","protected","2yr",0.108902047340213
"Method_C","8:2","age_cat_nij","Undersampling","protected","2yr",0.108902047340213
"Method_A","1:2","raw_age_year","Oversampling","protected","2yr",0.145070062439727
"Method_B","1:2","raw_age_year","Oversampling","protected","2yr",0.145070062439727
"Method_C","1:2","raw_age_year","Oversampling","protected","2yr",0.145070062439727
"Method_A","6:4","raw_age_year","Oversampling","protected","2yr",0.10280886195613
"Method_B","6:4","raw_age_year","Oversampling","protected","2yr",0.10280886195613
"Method_C","6:4","raw_age_year","Oversampling","protected","2yr",0.10280886195613
"Method_A","7:3","raw_age_year","Oversampling","protected","2yr",0.126557354263076
"Method_B","7:3","raw_age_year","Oversampling","protected","2yr",0.126557354263076
"Method_C","7:3","raw_age_year","Oversampling","protected","2yr",0.126557354263076
"Method_A","8:2","raw_age_year","Oversampling","protected","2yr",0.133801949342808
"Method_B","8:2","raw_age_year","Oversampling","protected","2yr",0.133801949342808
"Method_C","8:2","raw_age_year","Oversampling","protected","2yr",0.133801949342808
"Method_A","1:2","age_cat_compas","Oversampling","protected","2yr",0.145070062439727
"Method_B","1:2","age_cat_compas","Oversampling","protected","2yr",0.145070062439727
"Method_C","1:2","age_cat_compas","Oversampling","protected","2yr",0.145070062439727
"Method_A","6:4","age_cat_compas","Oversampling","protected","2yr",0.10280886195613
"Method_B","6:4","age_cat_compas","Oversampling","protected","2yr",0.10280886195613
"Method_C","6:4","age_cat_compas","Oversampling","protected","2yr",0.10280886195613
"Method_A","7:3","age_cat_compas","Oversampling","protected","2yr",0.126557354263076
"Method_B","7:3","age_cat_compas","Oversampling","protected","2yr",0.126557354263076
"Method_C","7:3","age_cat_compas","Oversampling","protected","2yr",0.126557354263076
"Method_A","8:2","age_cat_compas","Oversampling","protected","2yr",0.133801949342808
"Method_B","8:2","age_cat_compas","Oversampling","protected","2yr",0.133801949342808
"Method_C","8:2","age_cat_compas","Oversampling","protected","2yr",0.133801949342808
"Method_A","1:2","age_cat_nij","Oversampling","protected","2yr",0.145070062439727
"Method_B","1:2","age_cat_nij","Oversampling","protected","2yr",0.145070062439727
"Method_C","1:2","age_cat_nij","Oversampling","protected","2yr",0.145070062439727
"Method_A","6:4","age_cat_nij","Oversampling","protected","2yr",0.10280886195613
"Method_B","6:4","age_cat_nij","Oversampling","protected","2yr",0.10280886195613
"Method_C","6:4","age_cat_nij","Oversampling","protected","2yr",0.10280886195613
"Method_A","7:3","age_cat_nij","Oversampling","protected","2yr",0.126557354263076
"Method_B","7:3","age_cat_nij","Oversampling","protected","2yr",0.126557354263076
"Method_C","7:3","age_cat_nij","Oversampling","protected","2yr",0.126557354263076
"Method_A","8:2","age_cat_nij","Oversampling","protected","2yr",0.133801949342808
"Method_B","8:2","age_cat_nij","Oversampling","protected","2yr",0.133801949342808
"Method_C","8:2","age_cat_nij","Oversampling","protected","2yr",0.133801949342808
"Method_A","1:2","raw_age_year","Male Only","protected","2yr",0.178948968819847
"Method_B","1:2","raw_age_year","Male Only","protected","2yr",0.178948968819847
"Method_C","1:2","raw_age_year","Male Only","protected","2yr",0.178948968819847
"Method_A","6:4","raw_age_year","Male Only","protected","2yr",0.184791923537675
"Method_B","6:4","raw_age_year","Male Only","protected","2yr",0.184791923537675
"Method_C","6:4","raw_age_year","Male Only","protected","2yr",0.184791923537675
"Method_A","7:3","raw_age_year","Male Only","protected","2yr",0.1917732462442
"Method_B","7:3","raw_age_year","Male Only","protected","2yr",0.1917732462442
"Method_C","7:3","raw_age_year","Male Only","protected","2yr",0.1917732462442
"Method_A","8:2","raw_age_year","Male Only","protected","2yr",0.182994777393152
"Method_B","8:2","raw_age_year","Male Only","protected","2yr",0.182994777393152
"Method_C","8:2","raw_age_year","Male Only","protected","2yr",0.182994777393152
"Method_A","1:2","age_cat_compas","Male Only","protected","2yr",0.178948968819847
"Method_B","1:2","age_cat_compas","Male Only","protected","2yr",0.178948968819847
"Method_C","1:2","age_cat_compas","Male Only","protected","2yr",0.178948968819847
"Method_A","6:4","age_cat_compas","Male Only","protected","2yr",0.184791923537675
"Method_B","6:4","age_cat_compas","Male Only","protected","2yr",0.184791923537675
"Method_C","6:4","age_cat_compas","Male Only","protected","2yr",0.184791923537675
"Method_A","7:3","age_cat_compas","Male Only","protected","2yr",0.1917732462442
"Method_B","7:3","age_cat_compas","Male Only","protected","2yr",0.1917732462442
"Method_C","7:3","age_cat_compas","Male Only","protected","2yr",0.1917732462442
"Method_A","8:2","age_cat_compas","Male Only","protected","2yr",0.182994777393152
"Method_B","8:2","age_cat_compas","Male Only","protected","2yr",0.182994777393152
"Method_C","8:2","age_cat_compas","Male Only","protected","2yr",0.182994777393152
"Method_A","1:2","age_cat_nij","Male Only","protected","2yr",0.178948968819847
"Method_B","1:2","age_cat_nij","Male Only","protected","2yr",0.178948968819847
"Method_C","1:2","age_cat_nij","Male Only","protected","2yr",0.178948968819847
"Method_A","6:4","age_cat_nij","Male Only","protected","2yr",0.184791923537675
"Method_B","6:4","age_cat_nij","Male Only","protected","2yr",0.184791923537675
"Method_C","6:4","age_cat_nij","Male Only","protected","2yr",0.184791923537675
"Method_A","7:3","age_cat_nij","Male Only","protected","2yr",0.1917732462442
"Method_B","7:3","age_cat_nij","Male Only","protected","2yr",0.1917732462442
"Method_C","7:3","age_cat_nij","Male Only","protected","2yr",0.1917732462442
"Method_A","8:2","age_cat_nij","Male Only","protected","2yr",0.182994777393152
"Method_B","8:2","age_cat_nij","Male Only","protected","2yr",0.182994777393152
"Method_C","8:2","age_cat_nij","Male Only","protected","2yr",0.182994777393152
"Method_A","1:2","raw_age_year","Female Only","protected","2yr",0.122369989677254
"Method_B","1:2","raw_age_year","Female Only","protected","2yr",0.122369989677254
"Method_C","1:2","raw_age_year","Female Only","protected","2yr",0.122369989677254
"Method_A","6:4","raw_age_year","Female Only","protected","2yr",0.0257953678062376
"Method_B","6:4","raw_age_year","Female Only","protected","2yr",0.0257953678062376
"Method_C","6:4","raw_age_year","Female Only","protected","2yr",0.0257953678062376
"Method_A","7:3","raw_age_year","Female Only","protected","2yr",0.0731521378727035
"Method_B","7:3","raw_age_year","Female Only","protected","2yr",0.0731521378727035
"Method_C","7:3","raw_age_year","Female Only","protected","2yr",0.0731521378727035
"Method_A","8:2","raw_age_year","Female Only","protected","2yr",0.113186416579226
"Method_B","8:2","raw_age_year","Female Only","protected","2yr",0.113186416579226
"Method_C","8:2","raw_age_year","Female Only","protected","2yr",0.113186416579226
"Method_A","1:2","age_cat_compas","Female Only","protected","2yr",0.122369989677254
"Method_B","1:2","age_cat_compas","Female Only","protected","2yr",0.122369989677254
"Method_C","1:2","age_cat_compas","Female Only","protected","2yr",0.122369989677254
"Method_A","6:4","age_cat_compas","Female Only","protected","2yr",0.0257953678062376
"Method_B","6:4","age_cat_compas","Female Only","protected","2yr",0.0257953678062376
"Method_C","6:4","age_cat_compas","Female Only","protected","2yr",0.0257953678062376
"Method_A","7:3","age_cat_compas","Female Only","protected","2yr",0.0731521378727035
"Method_B","7:3","age_cat_compas","Female Only","protected","2yr",0.0731521378727035
"Method_C","7:3","age_cat_compas","Female Only","protected","2yr",0.0731521378727035
"Method_A","8:2","age_cat_compas","Female Only","protected","2yr",0.113186416579226
"Method_B","8:2","age_cat_compas","Female Only","protected","2yr",0.113186416579226
"Method_C","8:2","age_cat_compas","Female Only","protected","2yr",0.113186416579226
