"preprocessing","split","age_category","imbalancing_method","predictor_method","define_recid_method","recidivism_prob"
"Method_C","1:2","raw_age_year","Male Only","full","1yr",0.738973169290052
"Method_A","6:4","raw_age_year","Male Only","full","1yr",0.760261762821173
"Method_B","6:4","raw_age_year","Male Only","full","1yr",0.760261762821173
"Method_C","6:4","raw_age_year","Male Only","full","1yr",0.760261762821173
"Method_A","7:3","raw_age_year","Male Only","full","1yr",0.795993206280012
"Method_B","7:3","raw_age_year","Male Only","full","1yr",0.795993206280012
"Method_C","7:3","raw_age_year","Male Only","full","1yr",0.795993206280012
"Method_A","8:2","raw_age_year","Male Only","full","1yr",0.781564844343606
"Method_B","8:2","raw_age_year","Male Only","full","1yr",0.781564844343606
"Method_C","8:2","raw_age_year","Male Only","full","1yr",0.781564844343606
"Method_A","1:2","age_cat_compas","Male Only","full","1yr",0.738973169290052
"Method_B","1:2","age_cat_compas","Male Only","full","1yr",0.738973169290052
"Method_C","1:2","age_cat_compas","Male Only","full","1yr",0.738973169290052
"Method_A","6:4","age_cat_compas","Male Only","full","1yr",0.760261762821173
"Method_B","6:4","age_cat_compas","Male Only","full","1yr",0.760261762821173
"Method_C","6:4","age_cat_compas","Male Only","full","1yr",0.760261762821173
"Method_A","7:3","age_cat_compas","Male Only","full","1yr",0.795993206280012
"Method_B","7:3","age_cat_compas","Male Only","full","1yr",0.795993206280012
"Method_C","7:3","age_cat_compas","Male Only","full","1yr",0.795993206280012
"Method_A","8:2","age_cat_compas","Male Only","full","1yr",0.781564844343606
"Method_B","8:2","age_cat_compas","Male Only","full","1yr",0.781564844343606
"Method_C","8:2","age_cat_compas","Male Only","full","1yr",0.781564844343606
"Method_A","1:2","age_cat_nij","Male Only","full","1yr",0.738973169290052
"Method_B","1:2","age_cat_nij","Male Only","full","1yr",0.738973169290052
"Method_C","1:2","age_cat_nij","Male Only","full","1yr",0.738973169290052
"Method_A","6:4","age_cat_nij","Male Only","full","1yr",0.760261762821173
"Method_B","6:4","age_cat_nij","Male Only","full","1yr",0.760261762821173
"Method_C","6:4","age_cat_nij","Male Only","full","1yr",0.760261762821173
"Method_A","7:3","age_cat_nij","Male Only","full","1yr",0.795993206280012
"Method_B","7:3","age_cat_nij","Male Only","full","1yr",0.795993206280012
"Method_C","7:3","age_cat_nij","Male Only","full","1yr",0.795993206280012
"Method_A","8:2","age_cat_nij","Male Only","full","1yr",0.781564844343606
"Method_B","8:2","age_cat_nij","Male Only","full","1yr",0.781564844343606
"Method_C","8:2","age_cat_nij","Male Only","full","1yr",0.781564844343606
"Method_A","1:2","raw_age_year","Female Only","full","1yr",0.524816691342422
"Method_B","1:2","raw_age_year","Female Only","full","1yr",0.524816691342422
"Method_C","1:2","raw_age_year","Female Only","full","1yr",0.524816691342422
"Method_A","6:4","raw_age_year","Female Only","full","1yr",0
"Method_B","6:4","raw_age_year","Female Only","full","1yr",0
"Method_C","6:4","raw_age_year","Female Only","full","1yr",0
"Method_A","7:3","raw_age_year","Female Only","full","1yr",0.999964482078813
"Method_B","7:3","raw_age_year","Female Only","full","1yr",0.999964482078813
"Method_C","7:3","raw_age_year","Female Only","full","1yr",0.999964482078813
"Method_A","8:2","raw_age_year","Female Only","full","1yr",0.98403238228047
"Method_B","8:2","raw_age_year","Female Only","full","1yr",0.98403238228047
"Method_C","8:2","raw_age_year","Female Only","full","1yr",0.98403238228047
"Method_A","1:2","age_cat_compas","Female Only","full","1yr",0.524816691342422
"Method_B","1:2","age_cat_compas","Female Only","full","1yr",0.524816691342422
"Method_C","1:2","age_cat_compas","Female Only","full","1yr",0.524816691342422
"Method_A","6:4","age_cat_compas","Female Only","full","1yr",0
"Method_B","6:4","age_cat_compas","Female Only","full","1yr",0
"Method_C","6:4","age_cat_compas","Female Only","full","1yr",0
"Method_A","7:3","age_cat_compas","Female Only","full","1yr",0.999964482078813
"Method_B","7:3","age_cat_compas","Female Only","full","1yr",0.999964482078813
"Method_C","7:3","age_cat_compas","Female Only","full","1yr",0.999964482078813
"Method_A","8:2","age_cat_compas","Female Only","full","1yr",0.98403238228047
"Method_B","8:2","age_cat_compas","Female Only","full","1yr",0.98403238228047
"Method_C","8:2","age_cat_compas","Female Only","full","1yr",0.98403238228047
"Method_A","1:2","age_cat_nij","Female Only","full","1yr",0.524816691342422
"Method_B","1:2","age_cat_nij","Female Only","full","1yr",0.524816691342422
"Method_C","1:2","age_cat_nij","Female Only","full","1yr",0.524816691342422
"Method_A","6:4","age_cat_nij","Female Only","full","1yr",0
"Method_B","6:4","age_cat_nij","Female Only","full","1yr",0
"Method_C","6:4","age_cat_nij","Female Only","full","1yr",0
"Method_A","7:3","age_cat_nij","Female Only","full","1yr",0.999964482078813
"Method_B","7:3","age_cat_nij","Female Only","full","1yr",0.999964482078813
"Method_C","7:3","age_cat_nij","Female Only","full","1yr",0.999964482078813
"Method_A","8:2","age_cat_nij","Female Only","full","1yr",0.98403238228047
"Method_B","8:2","age_cat_nij","Female Only","full","1yr",0.98403238228047
"Method_C","8:2","age_cat_nij","Female Only","full","1yr",0.98403238228047
"Method_A","1:2","raw_age_year","Weighting","full","1yr",0.737939108145522
"Method_B","1:2","raw_age_year","Weighting","full","1yr",0.737939108145522
"Method_C","1:2","raw_age_year","Weighting","full","1yr",0.737939108145522
"Method_A","6:4","raw_age_year","Weighting","full","1yr",0.759476123781219
"Method_B","6:4","raw_age_year","Weighting","full","1yr",0.759476123781219
"Method_C","6:4","raw_age_year","Weighting","full","1yr",0.759476123781219
"Method_A","7:3","raw_age_year","Weighting","full","1yr",0.802880908136281
"Method_B","7:3","raw_age_year","Weighting","full","1yr",0.802880908136281
"Method_C","7:3","raw_age_year","Weighting","full","1yr",0.802880908136281
"Method_A","8:2","raw_age_year","Weighting","full","1yr",0.784698661579141
"Method_B","8:2","raw_age_year","Weighting","full","1yr",0.784698661579141
"Method_C","8:2","raw_age_year","Weighting","full","1yr",0.784698661579141
"Method_A","1:2","age_cat_compas","Weighting","full","1yr",0.737939108145522
